Province/State,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Observation Date
Guangdong,Mainland China,26,0,0,23.1357694,113.1982688,22-01-2020
Guangdong,Mainland China,32,0,2,23.1357694,113.1982688,23-01-2020
Guangdong,Mainland China,53,0,2,23.1357694,113.1982688,24-01-2020
Guangdong,Mainland China,78,0,2,23.1357694,113.1982688,25-01-2020
Guangdong,Mainland China,111,0,2,23.1357694,113.1982688,26-01-2020
Guangdong,Mainland China,151,0,4,23.1357694,113.1982688,27-01-2020
Guangdong,Mainland China,207,0,4,23.1357694,113.1982688,28-01-2020
Guangdong,Mainland China,277,0,5,23.1357694,113.1982688,29-01-2020
Guangdong,Mainland China,354,0,10,23.1357694,113.1982688,30-01-2020
Guangdong,Mainland China,436,0,11,23.1357694,113.1982688,31-01-2020
Guangdong,Mainland China,535,0,14,23.1357694,113.1982688,01-02-2020
Guangdong,Mainland China,632,0,15,23.1357694,113.1982688,02-02-2020
Guangdong,Mainland China,725,0,21,23.1357694,113.1982688,03-02-2020
Guangdong,Mainland China,813,0,30,23.1357694,113.1982688,04-02-2020
Guangdong,Mainland China,895,0,49,23.1357694,113.1982688,05-02-2020
Guangdong,Mainland China,970,0,69,23.1357694,113.1982688,06-02-2020
Guangdong,Mainland China,1034,1,88,23.1357694,113.1982688,07-02-2020
Guangdong,Mainland China,1095,1,112,23.1357694,113.1982688,08-02-2020
Guangdong,Mainland China,1131,1,141,23.1357694,113.1982688,09-02-2020
Guangdong,Mainland China,1159,1,167,23.1357694,113.1982688,10-02-2020
Guangdong,Mainland China,1177,1,212,23.1357694,113.1982688,11-02-2020
Guangdong,Mainland China,1219,1,275,23.1357694,113.1982688,12-02-2020
Guangdong,Mainland China,1241,2,314,23.1357694,113.1982688,13-02-2020
Guangdong,Mainland China,1261,2,362,23.1357694,113.1982688,14-02-2020
Guangdong,Mainland China,1294,2,410,23.1357694,113.1982688,15-02-2020
Guangdong,Mainland China,1316,2,465,23.1357694,113.1982688,16-02-2020
Guangdong,Mainland China,1322,4,524,23.1357694,113.1982688,17-02-2020
Guangdong,Mainland China,1328,4,565,23.1357694,113.1982688,18-02-2020
Guangdong,Mainland China,1331,5,606,23.1357694,113.1982688,19-02-2020
Guangdong,Mainland China,1332,5,642,23.1357694,113.1982688,20-02-2020
Guangdong,Mainland China,1333,5,690,23.1357694,113.1982688,21-02-2020
Guangdong,Mainland China,1339,5,728,23.1357694,113.1982688,22-02-2020
Guangdong,Mainland China,1342,6,755,23.1357694,113.1982688,23-02-2020
Guangdong,Mainland China,1345,6,786,23.1357694,113.1982688,24-02-2020
Guangdong,Mainland China,1347,7,822,23.1357694,113.1982688,25-02-2020
Guangdong,Mainland China,1347,7,851,23.1357694,113.1982688,26-02-2020
Guangdong,Mainland China,1347,7,890,23.1357694,113.1982688,27-02-2020
Guangdong,Mainland China,1348,7,935,23.1357694,113.1982688,28-02-2020
Guangdong,Mainland China,1349,7,983,23.1357694,113.1982688,29-02-2020
Guangdong,Mainland China,1349,7,1016,23.1357694,113.1982688,01-03-2020
Guangdong,Mainland China,1350,7,1059,23.1357694,113.1982688,02-03-2020
Guangdong,Mainland China,1350,7,1101,23.1357694,113.1982688,03-03-2020
Guangdong,Mainland China,1350,7,1133,23.1357694,113.1982688,04-03-2020
Guangdong,Mainland China,1351,7,1181,23.1357694,113.1982688,05-03-2020
Guangdong,Mainland China,1352,7,1216,23.1357694,113.1982688,06-03-2020
Guangdong,Mainland China,1352,7,1237,23.1357694,113.1982688,07-03-2020
Guangdong,Mainland China,1352,7,1256,23.1357694,113.1982688,08-03-2020
Guangdong,Mainland China,1352,8,1260,23.1357694,113.1982688,09-03-2020
Guangdong,Mainland China,1353,8,1274,23.1357694,113.1982688,10-03-2020
Guangdong,Mainland China,1356,8,1282,23.1357694,113.1982688,11-03-2020
Guangdong,Mainland China,1356,8,1289,23.1357694,113.1982688,12-03-2020
Guangdong,Mainland China,1356,8,1296,23.1357694,113.1982688,13-03-2020
Guangdong,Mainland China,1356,8,1299,23.1357694,113.1982688,14-03-2020
Guangdong,Mainland China,1360,8,1304,23.1357694,113.1982688,15-03-2020
