更新日期,更新時間,中國內地,報告/確診個案數目,死亡個案,備註,過去14天新增報告確診個案數目
11/01/2020,23:59,湖北省,41,,,
12/01/2020,23:59,湖北省,41,,,
13/01/2020,23:59,湖北省,41,,,
15/01/2020,23:59,湖北省,41,,,
16/01/2020,23:59,湖北省,45,,,
17/01/2020,23:59,湖北省,62,,,
19/01/2020,23:59,湖北省,198,,,
20/01/2020,18:00,廣東省,14,,,
20/01/2020,18:00,北京巿,5,,,
20/01/2020,18:00,上海巿,1,,,
20/01/2020,23:59,湖北省,270,,,
21/01/2020,18:00,廣東省,17,,,
21/01/2020,18:00,北京巿,5,,,
21/01/2020,18:00,上海巿,2,,,
21/01/2020,18:00,浙江省,1,,,
21/01/2020,23:59,湖北省,375,,,
22/01/2020,9:00,北京巿,10,,,
22/01/2020,9:00,重慶巿,5,,,
22/01/2020,9:00,廣東省,26,,,
22/01/2020,9:00,河南省,1,,,
22/01/2020,9:00,湖南省,1,,,
22/01/2020,9:00,江西省,2,,,
22/01/2020,9:00,山東省,1,,,
22/01/2020,9:00,上海巿,9,,,
22/01/2020,9:00,四川省,2,,,
22/01/2020,9:00,天津巿,2,,,
22/01/2020,9:00,雲南省,1,,,
22/01/2020,9:00,浙江省,5,,,
22/01/2020,18:00,北京巿,14,,,
22/01/2020,18:00,遼寧省,2,,,
22/01/2020,18:00,安徽省,4,,,
22/01/2020,18:00,重慶巿,6,,,
22/01/2020,18:00,陝西省,4,,,
22/01/2020,18:00,天津巿,2,,,
22/01/2020,18:00,福建省,1,,,
22/01/2020,18:00,湖南省,4,,,
22/01/2020,18:00,四川省,5,,,
22/01/2020,18:00,黑龍江省,1,,,
22/01/2020,18:00,江西省,2,,,
22/01/2020,18:00,廣東省,32,,,
22/01/2020,18:00,貴州省,1,,,
22/01/2020,18:00,上海巿,16,,,
22/01/2020,18:00,山東省,1,,,
22/01/2020,18:00,廣西自治區,2,,,
22/01/2020,18:00,雲南省,1,,,
22/01/2020,18:00,浙江省,10,,,
22/01/2020,18:00,河南省,5,,,
22/01/2020,18:00,海南省,1,,,
22/01/2020,23:59,湖北省,444,,,
23/01/2020,18:00,北京巿,14,,,
23/01/2020,18:00,遼寧省,3,,,
23/01/2020,18:00,安徽省,9,,,
23/01/2020,18:00,重慶巿,9,,,
23/01/2020,18:00,陝西省,4,,,
23/01/2020,18:00,天津巿,2,,,
23/01/2020,18:00,福建省,4,,,
23/01/2020,18:00,湖南省,9,,,
23/01/2020,18:00,四川省,8,,,
23/01/2020,18:00,黑龍江省,1,,,
23/01/2020,18:00,江西省,3,,,
23/01/2020,18:00,廣東省,32,,,
23/01/2020,18:00,貴州省,3,,,
23/01/2020,18:00,上海巿,16,,,
23/01/2020,18:00,山東省,1,,,
23/01/2020,18:00,廣西壯族自治區,5,,,
23/01/2020,18:00,雲南省,1,,,
23/01/2020,18:00,浙江省,27,,,
23/01/2020,18:00,河南省,5,,,
23/01/2020,18:00,河北省,1,,,
23/01/2020,18:00,海南省,1,,,
23/01/2020,18:00,吉林省,1,,,
23/01/2020,18:00,山西省,1,,,
23/01/2020,18:00,寧夏回族自治區,1,,,
23/01/2020,18:00,江蘇省,1,,,
23/01/2020,20:00,湖北省,468,,,
23/01/2020,23:59,湖北省,549,,,
