date,iso_alpha_3,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,tests,confirmed,deaths,recovered,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index
2020-01-03,CHN,China,,,,0,0,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2020-01-04,CHN,China,,,,1,0,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2020-01-05,CHN,China,,,,1,0,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.78
2020-01-06,CHN,China,,,,4,0,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.78
2020-01-07,CHN,China,,,,4,0,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.78
2020-01-08,CHN,China,,,,4,0,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.78
2020-01-09,CHN,China,,,,4,0,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.78
2020-01-10,CHN,China,,,,4,0,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.78
2020-01-11,CHN,China,,,,4,0,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.78
2020-01-12,CHN,China,,,,45,1,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.78
2020-01-13,CHN,China,,,,45,1,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.78
2020-01-14,CHN,China,,,,45,1,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.78
2020-01-15,CHN,China,,,,45,1,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,2.0,8.33
2020-01-16,CHN,China,,,,45,1,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,2.0,8.33
2020-01-17,CHN,China,,,,49,2,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,2.0,8.33
2020-01-18,CHN,China,,,,49,2,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,2.0,8.33
2020-01-19,CHN,China,,,,125,3,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,2.0,8.33
2020-01-20,CHN,China,,,,202,4,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,2.0,8.33
2020-01-21,CHN,China,,,,295,6,,1392730000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,2.0,8.33
2020-01-22,CHN,China,,,,442,17,,1392730000,0.0,0.0,-2.0,-4.0,0.0,0.0,0.0,0.0,-2.0,1.0,2.0,26.39
2020-01-23,CHN,China,,,,574,18,,1392730000,0.0,0.0,-2.0,-4.0,-2.0,-1.0,-2.0,0.0,-2.0,1.0,2.0,44.91
2020-01-24,CHN,China,,,,835,26,,1392730000,0.0,0.0,-2.0,-4.0,-2.0,-1.0,-2.0,0.0,-2.0,1.0,2.0,44.91
2020-01-25,CHN,China,,,,1297,42,,1392730000,0.0,0.0,-2.0,-4.0,-2.0,-1.0,-2.0,0.0,2.0,1.0,2.0,47.69
2020-01-26,CHN,China,,,,1985,56,,1392730000,3.0,3.0,-2.0,-4.0,-2.0,-1.0,-2.0,0.0,2.0,1.0,2.0,69.91
2020-01-27,CHN,China,,,,2761,82,,1392730000,3.0,3.0,-2.0,-4.0,-2.0,-1.0,-2.0,0.0,2.0,1.0,2.0,69.91
2020-01-28,CHN,China,,,,4533,131,,1392730000,3.0,3.0,-2.0,-4.0,-2.0,-1.0,-2.0,0.0,2.0,1.0,2.0,69.91
2020-01-29,CHN,China,,,,5997,133,,1392730000,3.0,3.0,-2.0,-4.0,-2.0,-1.0,-2.0,0.0,2.0,1.0,2.0,69.91
2020-01-30,CHN,China,,,,7736,171,,1392730000,3.0,3.0,-2.0,-4.0,-2.0,-1.0,-2.0,0.0,2.0,1.0,2.0,69.91
2020-01-31,CHN,China,,,,9720,213,,1392730000,3.0,3.0,-2.0,-4.0,-2.0,-1.0,-2.0,0.0,2.0,1.0,2.0,69.91
2020-02-01,CHN,China,,,,11821,259,,1392730000,3.0,3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,1.0,2.0,77.31
2020-02-02,CHN,China,,,,14411,361,,1392730000,3.0,3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,1.0,2.0,77.31
2020-02-03,CHN,China,,,,17238,425,,1392730000,3.0,3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,1.0,2.0,77.31
2020-02-04,CHN,China,,,,20471,491,,1392730000,3.0,3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,1.0,2.0,77.31
2020-02-05,CHN,China,,,,24363,563,,1392730000,3.0,3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,1.0,2.0,77.31
2020-02-06,CHN,China,,,,28060,633,,1392730000,3.0,3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,1.0,2.0,77.31
2020-02-07,CHN,China,,,,31211,718,,1392730000,3.0,3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,1.0,2.0,77.31
2020-02-08,CHN,China,,,,34598,805,,1392730000,3.0,3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,1.0,2.0,77.31
2020-02-09,CHN,China,,,,37251,905,,1392730000,3.0,3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,1.0,2.0,77.31
2020-02-10,CHN,China,,,,40235,1012,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,1.0,2.0,75.46
2020-02-11,CHN,China,,,,42708,1112,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,1.0,2.0,75.46
2020-02-12,CHN,China,,,,44730,1117,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,1.0,2.0,75.46
2020-02-13,CHN,China,,,,59882,1369,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,1.0,2.0,75.46
2020-02-14,CHN,China,,,,63932,1521,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,1.0,2.0,75.46
2020-02-15,CHN,China,,,,66576,1663,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,1.0,2.0,75.46
2020-02-16,CHN,China,,,,68584,1767,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,2.0,2.0,75.46
2020-02-17,CHN,China,,,,70635,1865,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,2.0,2.0,75.46
2020-02-18,CHN,China,,,,72528,2004,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,2.0,2.0,75.46
2020-02-19,CHN,China,,,,74278,2117,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,2.0,2.0,75.46
2020-02-20,CHN,China,,,,74675,2239,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,2.0,2.0,75.46
2020-02-21,CHN,China,,,,75568,2239,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,2.0,2.0,75.46
2020-02-22,CHN,China,,,,76393,2444,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,2.0,2.0,75.46
2020-02-23,CHN,China,,,,77042,2446,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,2.0,2.0,75.46
2020-02-24,CHN,China,,,,77262,2596,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,0.0,2.0,2.0,2.0,75.46
2020-02-25,CHN,China,,,,77779,2666,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,2.0,2.0,2.0,2.0,81.02
2020-02-26,CHN,China,,,,78190,2718,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,2.0,2.0,2.0,2.0,81.02
2020-02-27,CHN,China,,,,78630,2747,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,2.0,2.0,2.0,2.0,81.02
2020-02-28,CHN,China,,,,78959,2791,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,2.0,2.0,2.0,2.0,81.02
2020-02-29,CHN,China,,,,79389,2838,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,2.0,2.0,2.0,2.0,81.02
2020-03-01,CHN,China,,,,79968,2873,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,2.0,2.0,2.0,2.0,81.02
2020-03-02,CHN,China,,,,80174,2915,,1392730000,3.0,-3.0,-2.0,-4.0,-2.0,-3.0,-2.0,2.0,2.0,2.0,2.0,81.02
