Date,Prefecture,Positive,Tested,Discharged,Fatal
2020-03-18,Hokkaido,154,1587.0,69.0,7.0
2020-03-18,Aomori,0,75.0,0.0,0.0
2020-03-18,Iwate,0,24.0,0.0,0.0
2020-03-18,Miyagi,1,138.0,1.0,0.0
2020-03-18,Akita,2,109.0,1.0,0.0
2020-03-18,Yamagata,0,123.0,0.0,0.0
2020-03-18,Fukushima,2,127.0,0.0,0.0
2020-03-18,Ibaraki,2,454.0,0.0,0.0
2020-03-18,Tochigi,3,242.0,2.0,0.0
2020-03-18,Gunma,10,161.0,0.0,0.0
2020-03-18,Saitama,34,646.0,4.0,0.0
2020-03-18,Chiba,33,,9.0,0.0
2020-03-18,Tokyo,117,1743.0,23.0,2.0
2020-03-18,Kanagawa,59,,6.0,4.0
2020-03-18,Niigata,21,,1.0,0.0
2020-03-18,Toyama,0,54.0,0.0,0.0
2020-03-18,Ishikawa,7,165.0,1.0,0.0
2020-03-18,Fukui,1,92.0,0.0,0.0
2020-03-18,Yamanashi,2,325.0,0.0,0.0
2020-03-18,Nagano,4,295.0,0.0,0.0
2020-03-18,Gifu,3,270.0,1.0,0.0
2020-03-18,Shizuoka,3,,1.0,0.0
2020-03-18,Aichi,130,847.0,3.0,14.0
2020-03-18,Mie,8,277.0,1.0,0.0
2020-03-18,Shiga,4,140.0,0.0,0.0
2020-03-18,Kyoto,20,770.0,6.0,0.0
2020-03-18,Osaka,117,,22.0,0.0
2020-03-18,Hyogo,90,1020.0,0.0,3.0
2020-03-18,Nara,8,163.0,2.0,0.0
2020-03-18,Wakayama,15,1090.0,8.0,1.0
2020-03-18,Tottori,0,110.0,0.0,0.0
2020-03-18,Shimane,0,86.0,0.0,0.0
2020-03-18,Okayama,0,175.0,0.0,0.0
2020-03-18,Hiroshima,1,521.0,1.0,0.0
2020-03-18,Yamaguchi,3,157.0,0.0,0.0
2020-03-18,Tokushima,1,79.0,0.0,0.0
2020-03-18,Kagawa,1,122.0,0.0,0.0
2020-03-18,Ehime,3,181.0,1.0,0.0
2020-03-18,Kochi,12,267.0,6.0,0.0
2020-03-18,Fukuoka,4,610.0,1.0,0.0
2020-03-18,Saga,1,91.0,0.0,0.0
2020-03-18,Nagasaki,1,200.0,0.0,0.0
2020-03-18,Kumamoto,6,,0.0,0.0
2020-03-18,Oita,1,163.0,1.0,0.0
2020-03-18,Miyazaki,3,143.0,0.0,0.0
2020-03-18,Kagoshima,0,,0.0,0.0
2020-03-18,Okinawa,3,230.0,2.0,0.0
2020-03-19,Hokkaido,157,1652.0,69.0,7.0
2020-03-19,Aomori,0,79.0,0.0,0.0
2020-03-19,Iwate,0,29.0,0.0,0.0
2020-03-19,Miyagi,1,144.0,1.0,0.0
2020-03-19,Akita,2,114.0,1.0,0.0
2020-03-19,Yamagata,0,133.0,0.0,0.0
2020-03-19,Fukushima,2,132.0,0.0,0.0
2020-03-19,Ibaraki,3,464.0,0.0,0.0
2020-03-19,Tochigi,3,263.0,2.0,0.0
2020-03-19,Gunma,10,173.0,0.0,0.0
2020-03-19,Saitama,38,684.0,4.0,0.0
2020-03-19,Chiba,36,,9.0,0.0
2020-03-19,Tokyo,124,1848.0,24.0,2.0
2020-03-19,Kanagawa,64,,6.0,4.0
2020-03-19,Niigata,21,647.0,1.0,0.0
2020-03-19,Toyama,0,54.0,0.0,0.0
